position_type,iv_current,prime_current,underlying_current,symbol,symbol_bento,side,strike,days_to_exp,exp_date,count,underlying,rate,prime,iv,percentage_array,multiplier,commission,start_date,margin,HV_200,days_remaining,pop,current_expected_return,cvar,delta,gamma,theta,vega,rho,theta_bs,vega_bs,open_cost,max_profit,MP/DTE,profit_target,days_elapsed_TDE,%_days_elapsed,prime_now,cost_to_close_market_cost,current_PL,current_ROI,PL_TDE,current_RR_ratio,leverage,cur_date
F. Covered,12.0,2.0,133.0,HE=F,HE=F,CALL,72.0,134,2025-02-14,-1,72.0,4.8,0.0,23.0,30,400,4.2,2024-07-24,3000.0,0.383,133,0.435,-11798.397,-30051.9337,0.0,-0.0,2.838,-0.0,-26.0475,3.7212,-0.0,0.0,0.0,0.0,-4.2,72,53.7313,0.0,-4.2,-4.2,-0.14,-0.0583,-0.014,0.0,2024-10-03
F. Covered,12.0,2.0,122.0,HE=F,HE=F,STOCK,72.0,134,2025-02-14,1,90.57,4.8,0.0,23.0,30,400,4.2,2024-07-24,3000.0,0.383,133,0.435,-11798.397,-30051.9337,0.0,-0.0,2.838,-0.0,-26.0475,3.7212,-0.0,0.0,0.0,0.0,-4.2,72,53.7313,0.0,-4.2,-4.2,-0.14,-0.0583,-0.014,0.0,2024-10-03
