,ПОЗИЦИЯ,naked put,ТИКЕР,DKS
0,DTE,287,EXPECTED RETURN,-190
1,Open cost,-740,RR RATIO,38.95%
2,MARGIN START,1000,MP/DTE,2.578397213
3,BE lower,87.6,PROFIT TARGET,366.96
4,BE higher,-,DTE TARGET,94
5,MAX RISK,1900,POP MONTE,0.8
6,MAX PROFIT,740,PLAN ROC,36.70%
